WED,11:00:00,2024-07-03,PRESENT
WED,10:00:00,2024-07-03,PRESENT
WED,12:00:00,2024-07-03,PRESENT
WED,13:00:00,2024-07-03,PRESENT
WED,14:00:00,2024-07-03,PRESENT
WED,15:00:00,2024-07-03,PRESENT
WED,16:00:00,2024-07-03,PRESENT
THU,10:00:00,2024-07-04,PRESENT
THU,11:00:00,2024-07-04,PRESENT
THU,12:00:00,2024-07-04,PRESENT
THU,13:00:00,2024-07-04,PRESENT
THU,14:00:00,2024-07-04,PRESENT
THU,15:00:00,2024-07-04,PRESENT
THU,16:00:00,2024-07-04,PRESENT
FRI,10:00:00,2024-07-05,ABSENT
FRI,11:00:00,2024-07-05,ABSENT
FRI,12:00:00,2024-07-05,ABSENT
FRI,13:00:00,2024-07-05,ABSENT
FRI,14:00:00,2024-07-05,ABSENT
FRI,15:00:00,2024-07-05,ABSENT
FRI,16:00:00,2024-07-05,ABSENT
SAT,10:00:00,2024-07-06,PRESENT
SAT,11:00:00,2024-07-06,PRESENT
SAT,12:00:00,2024-07-06,PRESENT
SAT,13:00:00,2024-07-06,PRESENT
SAT,14:00:00,2024-07-06,PRESENT
SAT,15:00:00,2024-07-06,PRESENT
SAT,16:00:00,2024-07-06,PRESENT
WED,11:00:00,2024-07-10,PRESENT
WED,10:00:00,2024-07-10,PRESENT
WED,12:00:00,2024-07-10,PRESENT
WED,13:00:00,2024-07-10,PRESENT
WED,14:00:00,2024-07-10,PRESENT
WED,15:00:00,2024-07-10,PRESENT
WED,16:00:00,2024-07-10,PRESENT
THU,10:00:00,2024-07-11,PRESENT
THU,11:00:00,2024-07-11,PRESENT
THU,12:00:00,2024-07-11,PRESENT
THU,13:00:00,2024-07-11,PRESENT
THU,14:00:00,2024-07-11,PRESENT
THU,15:00:00,2024-07-11,PRESENT
THU,16:00:00,2024-07-11,PRESENT
FRI,10:00:00,2024-07-12,ABSENT
FRI,11:00:00,2024-07-12,ABSENT
FRI,12:00:00,2024-07-12,ABSENT
FRI,13:00:00,2024-07-12,ABSENT
FRI,14:00:00,2024-07-12,ABSENT
FRI,15:00:00,2024-07-12,ABSENT
FRI,16:00:00,2024-07-12,ABSENT
SAT,10:00:00,2024-07-13,ABSENT
SAT,11:00:00,2024-07-13,ABSENT
SAT,12:00:00,2024-07-13,ABSENT
SAT,13:00:00,2024-07-13,ABSENT
SAT,14:00:00,2024-07-13,ABSENT
SAT,15:00:00,2024-07-13,ABSENT
SAT,16:00:00,2024-07-13,ABSENT
WED,11:00:00,2024-07-17,PRESENT
WED,10:00:00,2024-07-17,PRESENT
WED,12:00:00,2024-07-17,PRESENT
WED,13:00:00,2024-07-17,PRESENT
WED,14:00:00,2024-07-17,PRESENT
WED,15:00:00,2024-07-17,PRESENT
WED,16:00:00,2024-07-17,PRESENT
THU,10:00:00,2024-07-18,ABSENT
THU,11:00:00,2024-07-18,ABSENT
THU,12:00:00,2024-07-18,ABSENT
THU,13:00:00,2024-07-18,ABSENT
THU,14:00:00,2024-07-18,ABSENT
THU,15:00:00,2024-07-18,ABSENT
THU,16:00:00,2024-07-18,ABSENT
FRI,10:00:00,2024-07-19,PRESENT
FRI,11:00:00,2024-07-19,PRESENT
FRI,12:00:00,2024-07-19,PRESENT
FRI,13:00:00,2024-07-19,PRESENT
FRI,14:00:00,2024-07-19,PRESENT
FRI,15:00:00,2024-07-19,PRESENT
FRI,16:00:00,2024-07-19,PRESENT
SAT,10:00:00,2024-07-20,PRESENT
SAT,11:00:00,2024-07-20,PRESENT
SAT,12:00:00,2024-07-20,PRESENT
SAT,13:00:00,2024-07-20,PRESENT
SAT,14:00:00,2024-07-20,PRESENT
SAT,15:00:00,2024-07-20,PRESENT
SAT,16:00:00,2024-07-20,PRESENT
WED,11:00:00,2024-07-24,PRESENT
WED,10:00:00,2024-07-24,PRESENT
WED,12:00:00,2024-07-24,PRESENT
WED,13:00:00,2024-07-24,PRESENT
WED,14:00:00,2024-07-24,PRESENT
WED,15:00:00,2024-07-24,PRESENT
WED,16:00:00,2024-07-24,PRESENT
THU,10:00:00,2024-07-25,PRESENT
THU,11:00:00,2024-07-25,PRESENT
THU,12:00:00,2024-07-25,PRESENT
THU,13:00:00,2024-07-25,PRESENT
THU,14:00:00,2024-07-25,PRESENT
THU,15:00:00,2024-07-25,PRESENT
THU,16:00:00,2024-07-25,PRESENT
FRI,10:00:00,2024-07-26,PRESENT
FRI,11:00:00,2024-07-26,PRESENT
FRI,12:00:00,2024-07-26,PRESENT
FRI,13:00:00,2024-07-26,PRESENT
FRI,14:00:00,2024-07-26,PRESENT
FRI,15:00:00,2024-07-26,PRESENT
FRI,16:00:00,2024-07-26,PRESENT
SAT,10:00:00,2024-07-27,PRESENT
SAT,11:00:00,2024-07-27,PRESENT
SAT,12:00:00,2024-07-27,PRESENT
SAT,13:00:00,2024-07-27,PRESENT
SAT,14:00:00,2024-07-27,PRESENT
SAT,15:00:00,2024-07-27,PRESENT
SAT,16:00:00,2024-07-27,PRESENT
